time,robot_x,robot_y,obs0_x,obs0_y,obs1_x,obs1_y,obs2_x,obs2_y
57,58,46,103,50,120,73,160,90
58,59,46,102,50,120,73,160,90
59,60,45,101,50,120,73,160,90
60,61,45,100,50,120,73,160,90
61,62,45,99,50,120,72,160,90
62,63,44,98,50,120,72,160,90
63,64,44,97,50,120,72,160,90
64,65,43,96,50,120,72,160,90
65,66,43,95,50,120,72,160,90
66,67,42,94,50,120,72,160,90
67,68,42,93,50,120,72,160,90
68,69,41,92,50,120,72,160,90
69,70,41,91,50,120,71,160,90
70,71,40,90,50,120,71,160,90
71,72,40,89,50,120,71,160,90
72,73,40,88,50,120,71,160,90
73,74,39,87,50,120,71,160,90
74,75,38,86,50,120,71,160,90
75,76,37,85,50,120,71,160,90
76,76,36,84,50,120,71,160,90
77,77,36,83,50,120,70,160,90
78,78,35,82,50,120,70,160,90
79,79,35,81,50,120,70,160,90
80,80,34,80,50,120,70,160,90
81,81,35,79,50,120,70,160,90
82,82,35,78,50,120,69,160,90
83,83,36,77,50,120,69,160,90
84,84,37,76,50,120,68,160,90
85,85,38,75,50,120,68,160,90
86,86,39,74,50,120,67,160,90
87,87,40,73,50,120,67,160,90
88,88,41,72,50,120,66,160,90
89,88,42,71,50,120,66,160,90
90,89,43,70,50,120,65,160,90
91,89,44,69,50,120,65,160,90
92,90,45,68,50,120,64,160,90
93,90,46,67,50,120,64,160,90
94,91,47,66,50,120,63,160,90
95,91,48,65,50,120,63,160,90
96,92,49,64,50,120,62,160,90
97,92,50,63,50,120,62,160,90
98,93,50,62,50,120,61,160,90
99,94,50,61,50,120,61,160,90
100,95,50,60,50,120,60,160,90
101,96,50,59,50,120,60,160,90
102,97,50,58,50,120,59,160,90
103,98,50,57,50,120,59,160,90
104,99,50,56,50,120,58,160,90
105,100,50,55,50,120,58,160,90
106,101,50,54,50,120,57,160,90
107,102,50,53,50,120,57,160,90
108,103,50,52,50,120,56,160,90
109,104,50,51,50,120,56,160,90
110,105,50,50,50,120,55,160,90
111,106,50,49,50,120,55,160,90
112,107,50,48,50,120,54,160,90
113,108,50,47,50,120,54,160,90
114,109,50,46,50,120,53,160,90
115,110,50,45,50,120,53,160,90
116,111,50,44,50,120,52,160,90
117,112,50,43,50,120,52,160,90
118,113,50,42,50,120,51,160,90
119,113,50,41,50,120,51,160,90
120,113,50,40,50,120,50,160,90
121,113,50,40,50,120,50,160,90
122,113,50,40,50,120,49,160,90
123,113,50,40,50,120,49,160,90
124,113,50,40,50,120,48,160,90
125,113,50,40,50,120,48,160,90
126,113,50,40,50,120,47,160,90
127,113,50,40,50,120,47,160,90
128,113,50,40,50,120,46,160,90
129,113,50,40,50,120,46,160,90
130,113,50,40,50,120,45,160,90
131,113,50,40,50,120,45,160,90
132,113,50,40,50,120,44,160,90
133,113,50,40,50,120,44,160,90
134,114,50,40,50,120,43,160,90
135,115,50,40,50,120,43,160,90
136,116,50,40,50,120,42,160,90
137,117,50,40,50,120,42,160,90
138,118,50,40,50,120,41,160,90
139,119,50,40,50,120,41,160,90
140,120,50,40,50,120,40,160,90
141,121,50,40,50,120,40,160,90
142,122,50,40,50,120,39,160,90
143,123,50,40,50,120,39,160,90
144,124,50,40,50,120,38,160,90
145,125,50,40,50,120,38,160,90
146,126,50,40,50,120,37,160,90
147,127,50,40,50,120,37,160,90
148,128,50,40,50,120,36,160,90
149,129,50,40,50,120,36,160,90
150,130,50,40,50,120,35,160,90
151,131,50,40,50,120,35,160,90
152,132,50,40,50,120,34,160,90
153,133,50,40,50,120,34,160,90
154,134,50,40,50,120,33,160,90
155,135,50,40,50,120,33,160,90
156,136,50,40,50,120,32,160,90
157,137,50,40,50,120,32,160,90
158,138,50,40,50,120,31,160,90
159,139,50,40,50,120,31,160,90
160,140,50,40,50,120,30,160,90
161,141,50,40,50,120,30,160,90
162,142,50,40,50,120,29,160,90
163,143,50,40,50,120,29,160,90
164,144,50,40,50,120,28,160,90
165,145,50,40,50,120,28,160,90
166,146,50,40,50,120,27,160,90
167,147,50,40,50,120,27,160,90
168,148,50,40,50,120,26,160,90
169,149,50,40,50,120,26,160,90
170,150,50,40,50,120,25,160,90
171,151,51,40,50,120,25,160,90
172,151,52,40,50,120,24,160,90
173,151,53,40,50,120,24,160,90
174,151,54,40,50,120,23,160,90
175,151,55,40,50,120,23,160,90
176,151,56,40,50,120,22,160,90
177,151,57,40,50,120,22,160,90
178,151,58,40,50,120,21,160,90
179,151,59,40,50,120,21,160,90
180,151,60,40,50,120,20,160,90
181,151,61,40,50,120,20,160,90
182,151,62,40,50,120,19,160,90
183,151,63,40,50,120,19,160,90
184,151,64,40,50,120,18,160,90
185,151,65,40,50,120,18,160,90
186,151,66,40,50,120,17,160,90
187,151,67,40,50,120,17,160,90
188,151,68,40,50,120,16,160,90
189,151,69,40,50,120,16,160,90
190,151,70,40,50,120,15,160,90
191,151,71,40,50,120,15,160,90
192,151,72,40,50,120,14,160,90
193,152,73,40,50,120,14,160,90
194,153,74,40,50,120,13,160,90
195,154,74,40,50,120,13,160,90
196,155,75,40,50,120,12,160,90
197,156,75,40,50,120,12,160,90
198,157,76,40,50,120,11,160,90
199,158,76,40,50,120,11,160,90
200,159,77,40,50,120,10,160,90
201,160,77,40,50,120,10,160,90
202,161,77,40,50,120,10,160,90
203,162,78,40,50,120,10,160,90
204,163,78,40,50,120,10,160,90
205,164,78,40,50,120,10,160,90
206,165,79,40,50,120,10,160,90
207,166,79,40,50,120,10,160,90
208,167,80,40,50,120,10,160,90
209,168,80,40,50,120,10,160,90
210,169,81,40,50,120,10,160,90
211,170,82,40,50,120,10,160,90
212,171,82,40,50,120,10,160,90
213,171,83,40,50,120,10,160,90
214,171,84,40,50,120,10,160,90
215,171,85,40,50,120,10,160,90
216,172,86,40,50,120,10,160,90
217,172,87,40,50,120,10,160,90
218,172,88,40,50,120,10,160,90
219,173,89,40,50,120,10,160,90
220,173,90,40,50,120,10,160,90
221,173,91,40,50,120,10,160,90
222,173,92,40,50,120,10,160,90
223,173,93,40,50,120,10,160,90
224,173,94,40,50,120,10,160,90
225,173,95,40,50,120,10,160,90
226,173,96,40,50,120,10,160,90
227,174,97,40,50,120,10,160,90
228,174,98,40,50,120,10,160,90
229,175,99,40,50,120,10,160,90
230,175,100,40,50,120,10,160,90
